"","Sample","Method_other","value_other","value_panctc","Metr"
"119","WBC_GSE94820+NSCLC_GSE74639_SC","CTCTracer",0,0.990950226244344,"Specificity"
"120","WBC_GSE94820+PC_GSE67980_SC","CTCTracer",0,0.990950226244344,"Specificity"
"121","WBC_GSE94820+BC_GSE144494_CL","iCTC",0.164705882352941,0.990950226244344,"Specificity"
"122","WBC_GSE94820+BC_GSE144494_SC","iCTC",0.161085972850679,0.990950226244344,"Specificity"
"123","WBC_GSE94820+BC_GSE144495_SC","iCTC",0.170135746606335,0.990950226244344,"Specificity"
"124","WBC_GSE94820+BC_GSE51827_CL","iCTC",0.17737556561086,0.990950226244344,"Specificity"
"125","WBC_GSE94820+BC_GSE51827_SC","iCTC",0.173755656108597,0.990950226244344,"Specificity"
"126","WBC_GSE94820+BC_GSE55807_SC","iCTC",0.179185520361991,0.990950226244344,"Specificity"
"127","WBC_GSE94820+BC_GSE75367_SC","iCTC",0.166515837104072,0.990950226244344,"Specificity"
"128","WBC_GSE94820+BC_GSE86978_CL","iCTC",0.16289592760181,0.990950226244344,"Specificity"
"129","WBC_GSE94820+BC_GSE86978_SC","iCTC",0.170135746606335,0.990950226244344,"Specificity"
"130","WBC_GSE94820+HCC_CNP0000095_SC","iCTC",0.167420814479638,0.990950226244344,"Specificity"
"131","WBC_GSE94820+MELA_GSE157740_SC","iCTC",0.176470588235294,0.990950226244344,"Specificity"
"132","WBC_GSE94820+MELA_GSE157743_SC1","iCTC",0.171945701357466,0.990950226244344,"Specificity"
"133","WBC_GSE94820+MELA_GSE157743_SC2","iCTC",0.180090497737557,0.990950226244344,"Specificity"
"134","WBC_GSE94820+NSCLC_GSE74639_SC","iCTC",0.170135746606335,0.990950226244344,"Specificity"
"135","WBC_GSE94820+PC_GSE67980_SC","iCTC",0.156561085972851,0.990950226244344,"Specificity"
"136","WBC_GSE94820+BC_GSE144494_CL","scATOMIC",1,0.990950226244344,"Specificity"
