"","Accuracy","Sample","Immune cells added","Group","variable","value","Group2"
"127",0.998509094523407,"pseudoPBMC_10000_BC_GSE75367_SC_n61.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"128",0.999700658551187,"pseudoPBMC_10000_BC_GSE86978_CL_n22.csv","Immune cells
n=10000","CTC cluster","Precision",1,"CTC cluster"
"129",0.999104922923919,"pseudoPBMC_10000_BC_GSE86978_SC_n55.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"130",0.996637990705033,"pseudoPBMC_10000_HCC_CNP0000095_SC_n113.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"131",1,"pseudoPBMC_10000_MELA_GSE157740_SC_n13.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"132",0.99831282254863,"pseudoPBMC_10000_MELA_GSE157743_SC1_n76.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"133",1,"pseudoPBMC_10000_MELA_GSE157743_SC2_n20.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"134",1,"pseudoPBMC_10000_NSCLC_GSE74639_SC_n10.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"135",1,"pseudoPBMC_10000_PC_GSE67980_SC_n77.csv","Immune cells
n=10000","Single CTC","Precision",1,"Single CTC"
"136",0.999601487778959,"pseudoPBMC_7500_BC_GSE144494_CL_n28.csv","Immune cells
n=7500","CTC cluster","Precision",1,"CTC cluster"
"137",0.997107926909426,"pseudoPBMC_7500_BC_GSE144494_SC_n107.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"138",0.996977263766592,"pseudoPBMC_7500_BC_GSE144495_SC_n109.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"139",0.999866915091829,"pseudoPBMC_7500_BC_GSE51827_CL_n14.csv","Immune cells
n=7500","CTC cluster","Precision",1,"CTC cluster"
"140",0.999733865602129,"pseudoPBMC_7500_BC_GSE51827_SC_n15.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"141",1,"pseudoPBMC_7500_BC_GSE55807_SC_n6.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"142",0.998016135431821,"pseudoPBMC_7500_BC_GSE75367_SC_n61.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"143",0.999601169901622,"pseudoPBMC_7500_BC_GSE86978_CL_n22.csv","Immune cells
n=7500","CTC cluster","Precision",1,"CTC cluster"
"144",0.998808735936466,"pseudoPBMC_7500_BC_GSE86978_SC_n55.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"145",0.995533955076842,"pseudoPBMC_7500_HCC_CNP0000095_SC_n113.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"146",1,"pseudoPBMC_7500_MELA_GSE157740_SC_n13.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"147",0.997756071805702,"pseudoPBMC_7500_MELA_GSE157743_SC1_n76.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"148",1,"pseudoPBMC_7500_MELA_GSE157743_SC2_n20.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"149",1,"pseudoPBMC_7500_NSCLC_GSE74639_SC_n10.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"150",1,"pseudoPBMC_7500_PC_GSE67980_SC_n77.csv","Immune cells
n=7500","Single CTC","Precision",1,"Single CTC"
"151",0.998908296943231,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144494_CL_n28.csv","GSE155698 HD1
n=2720","CTC cluster","Precision",1,"CTC cluster"
"152",0.992217898832685,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144494_SC_n107.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"153",0.991869918699187,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144495_SC_n109.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"154",0.999634235552304,"predict_GSE155698_Healthy_PBMC_1_BC_GSE51827_CL_n14.csv","GSE155698 HD1
n=2720","CTC cluster","Precision",1,"CTC cluster"
"155",0.99926873857404,"predict_GSE155698_Healthy_PBMC_1_BC_GSE51827_SC_n15.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"156",1,"predict_GSE155698_Healthy_PBMC_1_BC_GSE55807_SC_n6.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
"157",0.994606256742179,"predict_GSE155698_Healthy_PBMC_1_BC_GSE75367_SC_n61.csv","GSE155698 HD1
n=2720","Single CTC","Precision",1,"Single CTC"
